indicator_id,indicator_label,area_code,area_name,value,unit,period,source,source_url,geography,feature_id_key,indicator_group,value_direction,interpretation,aggregation_method,synthetic_data
fusion21_contract_value_synthetic,Synthetic contract value,E12000001,North East,8332000.0,GBP,Synthetic FY2024/25,AI-assisted synthetic demonstration data,,rgn_2019,properties.rgn19cd,fusion21_synthetic,higher_is_more_recorded_activity_or_investment,Fictional value for prototype testing only; it does not describe Fusion21 performance.,Sum of synthetic contract values by ONS English region.,True
fusion21_contract_value_synthetic,Synthetic contract value,E12000002,North West,23061000.0,GBP,Synthetic FY2024/25,AI-assisted synthetic demonstration data,,rgn_2019,properties.rgn19cd,fusion21_synthetic,higher_is_more_recorded_activity_or_investment,Fictional value for prototype testing only; it does not describe Fusion21 performance.,Sum of synthetic contract values by ONS English region.,True
fusion21_contract_value_synthetic,Synthetic contract value,E12000003,Yorkshire and The Humber,6359000.0,GBP,Synthetic FY2024/25,AI-assisted synthetic demonstration data,,rgn_2019,properties.rgn19cd,fusion21_synthetic,higher_is_more_recorded_activity_or_investment,Fictional value for prototype testing only; it does not describe Fusion21 performance.,Sum of synthetic contract values by ONS English region.,True
fusion21_contract_value_synthetic,Synthetic contract value,E12000004,East Midlands,16032000.0,GBP,Synthetic FY2024/25,AI-assisted synthetic demonstration data,,rgn_2019,properties.rgn19cd,fusion21_synthetic,higher_is_more_recorded_activity_or_investment,Fictional value for prototype testing only; it does not describe Fusion21 performance.,Sum of synthetic contract values by ONS English region.,True
fusion21_contract_value_synthetic,Synthetic contract value,E12000005,West Midlands,18855000.0,GBP,Synthetic FY2024/25,AI-assisted synthetic demonstration data,,rgn_2019,properties.rgn19cd,fusion21_synthetic,higher_is_more_recorded_activity_or_investment,Fictional value for prototype testing only; it does not describe Fusion21 performance.,Sum of synthetic contract values by ONS English region.,True
fusion21_contract_value_synthetic,Synthetic contract value,E12000006,East of England,22133000.0,GBP,Synthetic FY2024/25,AI-assisted synthetic demonstration data,,rgn_2019,properties.rgn19cd,fusion21_synthetic,higher_is_more_recorded_activity_or_investment,Fictional value for prototype testing only; it does not describe Fusion21 performance.,Sum of synthetic contract values by ONS English region.,True
fusion21_contract_value_synthetic,Synthetic contract value,E12000007,London,45622000.0,GBP,Synthetic FY2024/25,AI-assisted synthetic demonstration data,,rgn_2019,properties.rgn19cd,fusion21_synthetic,higher_is_more_recorded_activity_or_investment,Fictional value for prototype testing only; it does not describe Fusion21 performance.,Sum of synthetic contract values by ONS English region.,True
fusion21_contract_value_synthetic,Synthetic contract value,E12000008,South East,36361000.0,GBP,Synthetic FY2024/25,AI-assisted synthetic demonstration data,,rgn_2019,properties.rgn19cd,fusion21_synthetic,higher_is_more_recorded_activity_or_investment,Fictional value for prototype testing only; it does not describe Fusion21 performance.,Sum of synthetic contract values by ONS English region.,True
fusion21_contract_value_synthetic,Synthetic contract value,E12000009,South West,18565000.0,GBP,Synthetic FY2024/25,AI-assisted synthetic demonstration data,,rgn_2019,properties.rgn19cd,fusion21_synthetic,higher_is_more_recorded_activity_or_investment,Fictional value for prototype testing only; it does not describe Fusion21 performance.,Sum of synthetic contract values by ONS English region.,True
fusion21_foundation_investment_synthetic,Synthetic Foundation investment,E12000001,North East,227000.0,GBP,Synthetic FY2024/25,AI-assisted synthetic demonstration data,,rgn_2019,properties.rgn19cd,fusion21_synthetic,higher_is_more_recorded_activity_or_investment,Fictional value for prototype testing only; it does not describe Fusion21 performance.,Sum of synthetic Foundation payment amounts by ONS English region.,True
fusion21_foundation_investment_synthetic,Synthetic Foundation investment,E12000002,North West,380000.0,GBP,Synthetic FY2024/25,AI-assisted synthetic demonstration data,,rgn_2019,properties.rgn19cd,fusion21_synthetic,higher_is_more_recorded_activity_or_investment,Fictional value for prototype testing only; it does not describe Fusion21 performance.,Sum of synthetic Foundation payment amounts by ONS English region.,True
fusion21_foundation_investment_synthetic,Synthetic Foundation investment,E12000003,Yorkshire and The Humber,115500.0,GBP,Synthetic FY2024/25,AI-assisted synthetic demonstration data,,rgn_2019,properties.rgn19cd,fusion21_synthetic,higher_is_more_recorded_activity_or_investment,Fictional value for prototype testing only; it does not describe Fusion21 performance.,Sum of synthetic Foundation payment amounts by ONS English region.,True
fusion21_foundation_investment_synthetic,Synthetic Foundation investment,E12000004,East Midlands,299000.0,GBP,Synthetic FY2024/25,AI-assisted synthetic demonstration data,,rgn_2019,properties.rgn19cd,fusion21_synthetic,higher_is_more_recorded_activity_or_investment,Fictional value for prototype testing only; it does not describe Fusion21 performance.,Sum of synthetic Foundation payment amounts by ONS English region.,True
fusion21_foundation_investment_synthetic,Synthetic Foundation investment,E12000005,West Midlands,513500.0,GBP,Synthetic FY2024/25,AI-assisted synthetic demonstration data,,rgn_2019,properties.rgn19cd,fusion21_synthetic,higher_is_more_recorded_activity_or_investment,Fictional value for prototype testing only; it does not describe Fusion21 performance.,Sum of synthetic Foundation payment amounts by ONS English region.,True
fusion21_foundation_investment_synthetic,Synthetic Foundation investment,E12000006,East of England,440500.0,GBP,Synthetic FY2024/25,AI-assisted synthetic demonstration data,,rgn_2019,properties.rgn19cd,fusion21_synthetic,higher_is_more_recorded_activity_or_investment,Fictional value for prototype testing only; it does not describe Fusion21 performance.,Sum of synthetic Foundation payment amounts by ONS English region.,True
fusion21_foundation_investment_synthetic,Synthetic Foundation investment,E12000007,London,648000.0,GBP,Synthetic FY2024/25,AI-assisted synthetic demonstration data,,rgn_2019,properties.rgn19cd,fusion21_synthetic,higher_is_more_recorded_activity_or_investment,Fictional value for prototype testing only; it does not describe Fusion21 performance.,Sum of synthetic Foundation payment amounts by ONS English region.,True
fusion21_foundation_investment_synthetic,Synthetic Foundation investment,E12000008,South East,294500.0,GBP,Synthetic FY2024/25,AI-assisted synthetic demonstration data,,rgn_2019,properties.rgn19cd,fusion21_synthetic,higher_is_more_recorded_activity_or_investment,Fictional value for prototype testing only; it does not describe Fusion21 performance.,Sum of synthetic Foundation payment amounts by ONS English region.,True
fusion21_foundation_investment_synthetic,Synthetic Foundation investment,E12000009,South West,261000.0,GBP,Synthetic FY2024/25,AI-assisted synthetic demonstration data,,rgn_2019,properties.rgn19cd,fusion21_synthetic,higher_is_more_recorded_activity_or_investment,Fictional value for prototype testing only; it does not describe Fusion21 performance.,Sum of synthetic Foundation payment amounts by ONS English region.,True
fusion21_project_count_synthetic,Synthetic project count,E12000001,North East,3.0,projects,Synthetic FY2024/25,AI-assisted synthetic demonstration data,,rgn_2019,properties.rgn19cd,fusion21_synthetic,higher_is_more_recorded_activity_or_investment,Fictional value for prototype testing only; it does not describe Fusion21 performance.,Count of distinct synthetic contracts by ONS English region.,True
fusion21_project_count_synthetic,Synthetic project count,E12000002,North West,6.0,projects,Synthetic FY2024/25,AI-assisted synthetic demonstration data,,rgn_2019,properties.rgn19cd,fusion21_synthetic,higher_is_more_recorded_activity_or_investment,Fictional value for prototype testing only; it does not describe Fusion21 performance.,Count of distinct synthetic contracts by ONS English region.,True
fusion21_project_count_synthetic,Synthetic project count,E12000003,Yorkshire and The Humber,3.0,projects,Synthetic FY2024/25,AI-assisted synthetic demonstration data,,rgn_2019,properties.rgn19cd,fusion21_synthetic,higher_is_more_recorded_activity_or_investment,Fictional value for prototype testing only; it does not describe Fusion21 performance.,Count of distinct synthetic contracts by ONS English region.,True
fusion21_project_count_synthetic,Synthetic project count,E12000004,East Midlands,4.0,projects,Synthetic FY2024/25,AI-assisted synthetic demonstration data,,rgn_2019,properties.rgn19cd,fusion21_synthetic,higher_is_more_recorded_activity_or_investment,Fictional value for prototype testing only; it does not describe Fusion21 performance.,Count of distinct synthetic contracts by ONS English region.,True
fusion21_project_count_synthetic,Synthetic project count,E12000005,West Midlands,6.0,projects,Synthetic FY2024/25,AI-assisted synthetic demonstration data,,rgn_2019,properties.rgn19cd,fusion21_synthetic,higher_is_more_recorded_activity_or_investment,Fictional value for prototype testing only; it does not describe Fusion21 performance.,Count of distinct synthetic contracts by ONS English region.,True
fusion21_project_count_synthetic,Synthetic project count,E12000006,East of England,5.0,projects,Synthetic FY2024/25,AI-assisted synthetic demonstration data,,rgn_2019,properties.rgn19cd,fusion21_synthetic,higher_is_more_recorded_activity_or_investment,Fictional value for prototype testing only; it does not describe Fusion21 performance.,Count of distinct synthetic contracts by ONS English region.,True
fusion21_project_count_synthetic,Synthetic project count,E12000007,London,7.0,projects,Synthetic FY2024/25,AI-assisted synthetic demonstration data,,rgn_2019,properties.rgn19cd,fusion21_synthetic,higher_is_more_recorded_activity_or_investment,Fictional value for prototype testing only; it does not describe Fusion21 performance.,Count of distinct synthetic contracts by ONS English region.,True
