indicator_id,indicator_label,area_code,area_name,value,unit,period,source,source_url,geography,feature_id_key,indicator_group,value_direction,interpretation,aggregation_method,mean_imd_rank,mean_imd_score,unweighted_mean_imd_rank,median_imd_rank,population_total,lsoa_count,most_deprived_10_lsoa_count,most_deprived_10_lsoa_pct,most_deprived_20_lsoa_count,most_deprived_20_lsoa_pct,need_score
imd2019_need,IMD 2019 population-weighted relative need index,E07000223,Adur,49.9,0-100 relative index,2019,"English Indices of Deprivation 2019 File 7: ranks, deciles, scores and population denominators",https://assets.publishing.service.gov.uk/media/5dc407b440f0b6379a7acc8d/File_7_-_All_IoD2019_Scores__Ranks__Deciles_and_Population_Denominators_3.csv,lad_2019,properties.lad19cd,social_need,higher_is_higher_need,"Higher index values mean stronger relative deprivation within the selected geography level. The index is derived from the population-weighted average IMD rank of LSOAs in each 2019 local authority; 100 is the highest relative need in the current map, not an absolute deprivation score.",Population-weighted average IMD rank using total population mid-2015 excluding prisoners,17849.1,17.6,17775.0,18760.5,63526,42,0,0.0,1,2.4,49.9
imd2019_need,IMD 2019 population-weighted relative need index,E07000026,Allerdale,61.9,0-100 relative index,2019,"English Indices of Deprivation 2019 File 7: ranks, deciles, scores and population denominators",https://assets.publishing.service.gov.uk/media/5dc407b440f0b6379a7acc8d/File_7_-_All_IoD2019_Scores__Ranks__Deciles_and_Population_Denominators_3.csv,lad_2019,properties.lad19cd,social_need,higher_is_higher_need,"Higher index values mean stronger relative deprivation within the selected geography level. The index is derived from the population-weighted average IMD rank of LSOAs in each 2019 local authority; 100 is the highest relative need in the current map, not an absolute deprivation score.",Population-weighted average IMD rank using total population mid-2015 excluding prisoners,15016.2,22.9,15164.0,15193.5,96756,60,7,11.7,12,20.0,61.9
imd2019_need,IMD 2019 population-weighted relative need index,E07000032,Amber Valley,48.9,0-100 relative index,2019,"English Indices of Deprivation 2019 File 7: ranks, deciles, scores and population denominators",https://assets.publishing.service.gov.uk/media/5dc407b440f0b6379a7acc8d/File_7_-_All_IoD2019_Scores__Ranks__Deciles_and_Population_Denominators_3.csv,lad_2019,properties.lad19cd,social_need,higher_is_higher_need,"Higher index values mean stronger relative deprivation within the selected geography level. The index is derived from the population-weighted average IMD rank of LSOAs in each 2019 local authority; 100 is the highest relative need in the current map, not an absolute deprivation score.",Population-weighted average IMD rank using total population mid-2015 excluding prisoners,18089.5,18.0,18042.6,17922.5,124188,78,3,3.8,8,10.3,48.9
imd2019_need,IMD 2019 population-weighted relative need index,E07000224,Arun,52.3,0-100 relative index,2019,"English Indices of Deprivation 2019 File 7: ranks, deciles, scores and population denominators",https://assets.publishing.service.gov.uk/media/5dc407b440f0b6379a7acc8d/File_7_-_All_IoD2019_Scores__Ranks__Deciles_and_Population_Denominators_3.csv,lad_2019,properties.lad19cd,social_need,higher_is_higher_need,"Higher index values mean stronger relative deprivation within the selected geography level. The index is derived from the population-weighted average IMD rank of LSOAs in each 2019 local authority; 100 is the highest relative need in the current map, not an absolute deprivation score.",Population-weighted average IMD rank using total population mid-2015 excluding prisoners,17287.9,18.6,17267.0,18096.0,155307,94,4,4.3,10,10.6,52.3
imd2019_need,IMD 2019 population-weighted relative need index,E07000170,Ashfield,72.6,0-100 relative index,2019,"English Indices of Deprivation 2019 File 7: ranks, deciles, scores and population denominators",https://assets.publishing.service.gov.uk/media/5dc407b440f0b6379a7acc8d/File_7_-_All_IoD2019_Scores__Ranks__Deciles_and_Population_Denominators_3.csv,lad_2019,properties.lad19cd,social_need,higher_is_higher_need,"Higher index values mean stronger relative deprivation within the selected geography level. The index is derived from the population-weighted average IMD rank of LSOAs in each 2019 local authority; 100 is the highest relative need in the current map, not an absolute deprivation score.",Population-weighted average IMD rank using total population mid-2015 excluding prisoners,12520.9,26.3,12486.4,11654.0,123577,74,12,16.2,21,28.4,72.6
imd2019_need,IMD 2019 population-weighted relative need index,E07000105,Ashford,52.0,0-100 relative index,2019,"English Indices of Deprivation 2019 File 7: ranks, deciles, scores and population denominators",https://assets.publishing.service.gov.uk/media/5dc407b440f0b6379a7acc8d/File_7_-_All_IoD2019_Scores__Ranks__Deciles_and_Population_Denominators_3.csv,lad_2019,properties.lad19cd,social_need,higher_is_higher_need,"Higher index values mean stronger relative deprivation within the selected geography level. The index is derived from the population-weighted average IMD rank of LSOAs in each 2019 local authority; 100 is the highest relative need in the current map, not an absolute deprivation score.",Population-weighted average IMD rank using total population mid-2015 excluding prisoners,17360.4,18.5,17247.8,17610.0,124047,78,1,1.3,10,12.8,52.0
imd2019_need,IMD 2019 population-weighted relative need index,E07000004,Aylesbury Vale,24.3,0-100 relative index,2019,"English Indices of Deprivation 2019 File 7: ranks, deciles, scores and population denominators",https://assets.publishing.service.gov.uk/media/5dc407b440f0b6379a7acc8d/File_7_-_All_IoD2019_Scores__Ranks__Deciles_and_Population_Denominators_3.csv,lad_2019,properties.lad19cd,social_need,higher_is_higher_need,"Higher index values mean stronger relative deprivation within the selected geography level. The index is derived from the population-weighted average IMD rank of LSOAs in each 2019 local authority; 100 is the highest relative need in the current map, not an absolute deprivation score.",Population-weighted average IMD rank using total population mid-2015 excluding prisoners,23843.7,11.2,24008.9,25765.0,187522,115,0,0.0,1,0.9,24.3
imd2019_need,IMD 2019 population-weighted relative need index,E07000200,Babergh,38.6,0-100 relative index,2019,"English Indices of Deprivation 2019 File 7: ranks, deciles, scores and population denominators",https://assets.publishing.service.gov.uk/media/5dc407b440f0b6379a7acc8d/File_7_-_All_IoD2019_Scores__Ranks__Deciles_and_Population_Denominators_3.csv,lad_2019,properties.lad19cd,social_need,higher_is_higher_need,"Higher index values mean stronger relative deprivation within the selected geography level. The index is derived from the population-weighted average IMD rank of LSOAs in each 2019 local authority; 100 is the highest relative need in the current map, not an absolute deprivation score.",Population-weighted average IMD rank using total population mid-2015 excluding prisoners,20505.9,14.3,20405.2,21179.5,89900,54,0,0.0,0,0.0,38.6
imd2019_need,IMD 2019 population-weighted relative need index,E09000002,Barking and Dagenham,94.8,0-100 relative index,2019,"English Indices of Deprivation 2019 File 7: ranks, deciles, scores and population denominators",https://assets.publishing.service.gov.uk/media/5dc407b440f0b6379a7acc8d/File_7_-_All_IoD2019_Scores__Ranks__Deciles_and_Population_Denominators_3.csv,lad_2019,properties.lad19cd,social_need,higher_is_higher_need,"Higher index values mean stronger relative deprivation within the selected geography level. The index is derived from the population-weighted average IMD rank of LSOAs in each 2019 local authority; 100 is the highest relative need in the current map, not an absolute deprivation score.",Population-weighted average IMD rank using total population mid-2015 excluding prisoners,7293.1,32.8,7244.5,6376.5,203101,110,4,3.6,60,54.5,94.8
imd2019_need,IMD 2019 population-weighted relative need index,E09000003,Barnet,44.8,0-100 relative index,2019,"English Indices of Deprivation 2019 File 7: ranks, deciles, scores and population denominators",https://assets.publishing.service.gov.uk/media/5dc407b440f0b6379a7acc8d/File_7_-_All_IoD2019_Scores__Ranks__Deciles_and_Population_Denominators_3.csv,lad_2019,properties.lad19cd,social_need,higher_is_higher_need,"Higher index values mean stronger relative deprivation within the selected geography level. The index is derived from the population-weighted average IMD rank of LSOAs in each 2019 local authority; 100 is the highest relative need in the current map, not an absolute deprivation score.",Population-weighted average IMD rank using total population mid-2015 excluding prisoners,19041.6,16.1,19287.5,20414.0,378778,211,1,0.5,7,3.3,44.8
