indicator_id,indicator_label,area_code,area_name,value,unit,period,source,source_url,geography,feature_id_key,indicator_group,value_direction,interpretation,aggregation_method,mean_imd_rank,mean_imd_score,unweighted_mean_imd_rank,median_imd_rank,population_total,lsoa_count,local_authority_count,most_deprived_10_lsoa_count,most_deprived_10_lsoa_pct,most_deprived_20_lsoa_count,most_deprived_20_lsoa_pct,period_code,period_start,observation_status,unemployment_rate
imd2019_need,IMD 2019 population-weighted mean score,E12000004,East Midlands,20.4,IMD score,2019,"English Indices of Deprivation 2019 File 7: ranks, deciles, scores and population denominators",https://assets.publishing.service.gov.uk/media/5dc407b440f0b6379a7acc8d/File_7_-_All_IoD2019_Scores__Ranks__Deciles_and_Population_Denominators_3.csv,rgn_2019,properties.rgn19cd,social_need,higher_is_higher_need,Higher values indicate stronger deprivation. This is a project-created population-weighted summary of official LSOA IMD scores for each 2019 English region; it is not an official regional statistic and it is not a percentage.,"Sum of LSOA IMD score multiplied by LSOA population, divided by the total population. Population is the mid-2015 total excluding prisoners.",17159.0,20.4,17182.0,19578.0,4670229,2774.0,40.0,229.0,8.3,500.0,18.0,,,,
imd2019_need,IMD 2019 population-weighted mean score,E12000006,East of England,17.4,IMD score,2019,"English Indices of Deprivation 2019 File 7: ranks, deciles, scores and population denominators",https://assets.publishing.service.gov.uk/media/5dc407b440f0b6379a7acc8d/File_7_-_All_IoD2019_Scores__Ranks__Deciles_and_Population_Denominators_3.csv,rgn_2019,properties.rgn19cd,social_need,higher_is_higher_need,Higher values indicate stronger deprivation. This is a project-created population-weighted summary of official LSOA IMD scores for each 2019 English region; it is not an official regional statistic and it is not a percentage.,"Sum of LSOA IMD score multiplied by LSOA population, divided by the total population. Population is the mid-2015 total excluding prisoners.",18815.8,17.4,18866.0,19884.0,6068635,3614.0,45.0,134.0,3.7,363.0,10.0,,,,
imd2019_need,IMD 2019 population-weighted mean score,E12000007,London,21.8,IMD score,2019,"English Indices of Deprivation 2019 File 7: ranks, deciles, scores and population denominators",https://assets.publishing.service.gov.uk/media/5dc407b440f0b6379a7acc8d/File_7_-_All_IoD2019_Scores__Ranks__Deciles_and_Population_Denominators_3.csv,rgn_2019,properties.rgn19cd,social_need,higher_is_higher_need,Higher values indicate stronger deprivation. This is a project-created population-weighted summary of official LSOA IMD scores for each 2019 English region; it is not an official regional statistic and it is not a percentage.,"Sum of LSOA IMD score multiplied by LSOA population, divided by the total population. Population is the mid-2015 total excluding prisoners.",14898.4,21.8,15197.5,14130.5,8662622,4835.0,33.0,107.0,2.2,795.0,16.4,,,,
imd2019_need,IMD 2019 population-weighted mean score,E12000001,North East,28.0,IMD score,2019,"English Indices of Deprivation 2019 File 7: ranks, deciles, scores and population denominators",https://assets.publishing.service.gov.uk/media/5dc407b440f0b6379a7acc8d/File_7_-_All_IoD2019_Scores__Ranks__Deciles_and_Population_Denominators_3.csv,rgn_2019,properties.rgn19cd,social_need,higher_is_higher_need,Higher values indicate stronger deprivation. This is a project-created population-weighted summary of official LSOA IMD scores for each 2019 English region; it is not an official regional statistic and it is not a percentage.,"Sum of LSOA IMD score multiplied by LSOA population, divided by the total population. Population is the mid-2015 total excluding prisoners.",12986.2,28.0,12946.0,10514.0,2620645,1657.0,12.0,328.0,19.8,571.0,34.5,,,,
imd2019_need,IMD 2019 population-weighted mean score,E12000002,North West,28.1,IMD score,2019,"English Indices of Deprivation 2019 File 7: ranks, deciles, scores and population denominators",https://assets.publishing.service.gov.uk/media/5dc407b440f0b6379a7acc8d/File_7_-_All_IoD2019_Scores__Ranks__Deciles_and_Population_Denominators_3.csv,rgn_2019,properties.rgn19cd,social_need,higher_is_higher_need,Higher values indicate stronger deprivation. This is a project-created population-weighted summary of official LSOA IMD scores for each 2019 English region; it is not an official regional statistic and it is not a percentage.,"Sum of LSOA IMD score multiplied by LSOA population, divided by the total population. Population is the mid-2015 total excluding prisoners.",13355.2,28.1,13496.7,12744.5,7166543,4497.0,39.0,967.0,21.5,1528.0,34.0,,,,
imd2019_need,IMD 2019 population-weighted mean score,E12000008,South East,15.5,IMD score,2019,"English Indices of Deprivation 2019 File 7: ranks, deciles, scores and population denominators",https://assets.publishing.service.gov.uk/media/5dc407b440f0b6379a7acc8d/File_7_-_All_IoD2019_Scores__Ranks__Deciles_and_Population_Denominators_3.csv,rgn_2019,properties.rgn19cd,social_need,higher_is_higher_need,Higher values indicate stronger deprivation. This is a project-created population-weighted summary of official LSOA IMD scores for each 2019 English region; it is not an official regional statistic and it is not a percentage.,"Sum of LSOA IMD score multiplied by LSOA population, divided by the total population. Population is the mid-2015 total excluding prisoners.",20482.7,15.5,20548.7,22828.0,8940404,5382.0,67.0,165.0,3.1,446.0,8.3,,,,
imd2019_need,IMD 2019 population-weighted mean score,E12000009,South West,18.2,IMD score,2019,"English Indices of Deprivation 2019 File 7: ranks, deciles, scores and population denominators",https://assets.publishing.service.gov.uk/media/5dc407b440f0b6379a7acc8d/File_7_-_All_IoD2019_Scores__Ranks__Deciles_and_Population_Denominators_3.csv,rgn_2019,properties.rgn19cd,social_need,higher_is_higher_need,Higher values indicate stronger deprivation. This is a project-created population-weighted summary of official LSOA IMD scores for each 2019 English region; it is not an official regional statistic and it is not a percentage.,"Sum of LSOA IMD score multiplied by LSOA population, divided by the total population. Population is the mid-2015 total excluding prisoners.",18115.2,18.2,18131.9,19203.5,5467722,3281.0,30.0,162.0,4.9,357.0,10.9,,,,
imd2019_need,IMD 2019 population-weighted mean score,E12000005,West Midlands,25.3,IMD score,2019,"English Indices of Deprivation 2019 File 7: ranks, deciles, scores and population denominators",https://assets.publishing.service.gov.uk/media/5dc407b440f0b6379a7acc8d/File_7_-_All_IoD2019_Scores__Ranks__Deciles_and_Population_Denominators_3.csv,rgn_2019,properties.rgn19cd,social_need,higher_is_higher_need,Higher values indicate stronger deprivation. This is a project-created population-weighted summary of official LSOA IMD scores for each 2019 English region; it is not an official regional statistic and it is not a percentage.,"Sum of LSOA IMD score multiplied by LSOA population, divided by the total population. Population is the mid-2015 total excluding prisoners.",14161.0,25.3,14397.2,17411.5,5747778,3487.0,30.0,551.0,15.8,1002.0,28.7,,,,
imd2019_need,IMD 2019 population-weighted mean score,E12000003,Yorkshire and The Humber,26.0,IMD score,2019,"English Indices of Deprivation 2019 File 7: ranks, deciles, scores and population denominators",https://assets.publishing.service.gov.uk/media/5dc407b440f0b6379a7acc8d/File_7_-_All_IoD2019_Scores__Ranks__Deciles_and_Population_Denominators_3.csv,rgn_2019,properties.rgn19cd,social_need,higher_is_higher_need,Higher values indicate stronger deprivation. This is a project-created population-weighted summary of official LSOA IMD scores for each 2019 English region; it is not an official regional statistic and it is not a percentage.,"Sum of LSOA IMD score multiplied by LSOA population, divided by the total population. Population is the mid-2015 total excluding prisoners.",14317.6,26.0,14357.2,13917.0,5383626,3317.0,21.0,641.0,19.3,1006.0,30.3,,,,
social_need_composite,Raw social need index,E12000004,East Midlands,13.0,raw composite index,IMD 2019 + Feb 2026-Apr 2026,English Indices of Deprivation 2019 and Office for National Statistics Labour Force Survey via Nomis,https://assets.publishing.service.gov.uk/media/5dc407b440f0b6379a7acc8d/File_7_-_All_IoD2019_Scores__Ranks__Deciles_and_Population_Denominators_3.csv | https://www.nomisweb.co.uk/api/v01/dataset/NM_59_1.data.csv,rgn_2019,properties.rgn19cd,social_need_composite,higher_is_higher_need,"Higher values indicate stronger observed social need under this simple project formula. The result is an exploratory index, not a percentage, an official statistic or a measure of Fusion21 impact.","Raw social need index = (population-weighted mean IMD score + regional unemployment rate) / 2. Neither input is Min-Max standardised. The two inputs have different units and numerical ranges, so this is a simple descriptive combination rather than a balanced causal model.",,20.4,,,,,,,,,,,2026-04-01,,5.5
