"DATE_NAME","DATE_CODE","GEOGRAPHY_NAME","GEOGRAPHY_CODE","SEX_NAME","ECONOMIC_ACTIVITY_NAME","VALUE_TYPE_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME"
"Feb 2026-Apr 2026","2026-04","North East","E12000001","Total","Total unemployed - aged 16 and over","Level","Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.",5.4,"A","Normal Value"
"Feb 2026-Apr 2026","2026-04","North West","E12000002","Total","Total unemployed - aged 16 and over","Level","Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.",5.0,"A","Normal Value"
"Feb 2026-Apr 2026","2026-04","Yorkshire and The Humber","E12000003","Total","Total unemployed - aged 16 and over","Level","Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.",5.8,"A","Normal Value"
"Feb 2026-Apr 2026","2026-04","East Midlands","E12000004","Total","Total unemployed - aged 16 and over","Level","Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.",5.5,"A","Normal Value"
"Feb 2026-Apr 2026","2026-04","West Midlands","E12000005","Total","Total unemployed - aged 16 and over","Level","Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.",5.3,"A","Normal Value"
"Feb 2026-Apr 2026","2026-04","East","E12000006","Total","Total unemployed - aged 16 and over","Level","Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.",4.2,"A","Normal Value"
"Feb 2026-Apr 2026","2026-04","London","E12000007","Total","Total unemployed - aged 16 and over","Level","Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.",6.6,"A","Normal Value"
"Feb 2026-Apr 2026","2026-04","South East","E12000008","Total","Total unemployed - aged 16 and over","Level","Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.",3.8,"A","Normal Value"
"Feb 2026-Apr 2026","2026-04","South West","E12000009","Total","Total unemployed - aged 16 and over","Level","Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.",4.4,"A","Normal Value"
"Feb 2026-Apr 2026","2026-04","Wales","W92000004","Total","Total unemployed - aged 16 and over","Level","Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.",3.8,"A","Normal Value"
"Feb 2026-Apr 2026","2026-04","Scotland","S92000003","Total","Total unemployed - aged 16 and over","Level","Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.",4.3,"A","Normal Value"
"Feb 2026-Apr 2026","2026-04","Northern Ireland","N92000002","Total","Total unemployed - aged 16 and over","Level","Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.",1.7,"A","Normal Value"
