Fusion21 Contract ID,Fusion21 Member,Supplier Name,Synthetic Data,Taken steps to reduce carbon emissions or incorporate renewable energy into your operations? (e.g. switching to electric vehicles),Taken steps to reduce waste e.g. supporting community-level recycling,Implemented measures to reduce water consumption? (e.g. rainwater harvesting),"Protected local ecosystems? (e.g. by planting trees, creating green spaces)",Actively engaged with local communities/schools/colleges to promote the benefits of renewable energy?,Delivered training initiatives that upskills existing members of staff around sustainability/green skills?
F21-SYN-0001,Demo Member 01-1,Demo Supplier 01,True,No,Yes,No,No,No,Yes
F21-SYN-0002,Demo Member 01-2,Demo Supplier 02,True,No,Yes,No,No,Yes,No
F21-SYN-0003,Demo Member 01-1,Demo Supplier 03,True,No,No,No,No,No,No
F21-SYN-0004,Demo Member 02-1,Demo Supplier 04,True,Yes,Yes,Yes,Yes,Yes,Yes
F21-SYN-0005,Demo Member 02-2,Demo Supplier 05,True,Yes,No,No,Yes,No,Yes
F21-SYN-0006,Demo Member 02-1,Demo Supplier 06,True,Yes,No,Yes,Yes,No,No
F21-SYN-0007,Demo Member 02-2,Demo Supplier 07,True,Yes,Yes,Yes,No,Yes,Yes
F21-SYN-0008,Demo Member 02-1,Demo Supplier 08,True,No,Yes,No,Yes,Yes,Yes
F21-SYN-0009,Demo Member 02-2,Demo Supplier 09,True,No,Yes,Yes,No,No,Yes
F21-SYN-0010,Demo Member 03-1,Demo Supplier 10,True,No,No,Yes,No,No,Yes
F21-SYN-0011,Demo Member 03-2,Demo Supplier 11,True,Yes,Yes,Yes,No,No,Yes
F21-SYN-0012,Demo Member 03-1,Demo Supplier 12,True,No,Yes,No,No,Yes,No
F21-SYN-0013,Demo Member 04-1,Demo Supplier 01,True,No,No,Yes,No,Yes,No
F21-SYN-0014,Demo Member 04-2,Demo Supplier 02,True,No,Yes,No,No,Yes,Yes
F21-SYN-0015,Demo Member 04-1,Demo Supplier 03,True,Yes,No,Yes,No,Yes,Yes
F21-SYN-0016,Demo Member 04-2,Demo Supplier 04,True,Yes,No,No,No,Yes,No
F21-SYN-0017,Demo Member 05-1,Demo Supplier 05,True,Yes,Yes,Yes,Yes,No,Yes
F21-SYN-0018,Demo Member 05-2,Demo Supplier 06,True,No,Yes,No,Yes,Yes,Yes
F21-SYN-0019,Demo Member 05-1,Demo Supplier 07,True,No,Yes,No,Yes,Yes,No
F21-SYN-0020,Demo Member 05-2,Demo Supplier 08,True,Yes,Yes,Yes,Yes,Yes,Yes
F21-SYN-0021,Demo Member 05-1,Demo Supplier 09,True,No,Yes,No,No,No,Yes
F21-SYN-0022,Demo Member 05-2,Demo Supplier 10,True,Yes,No,No,Yes,No,Yes
F21-SYN-0023,Demo Member 06-1,Demo Supplier 11,True,Yes,Yes,Yes,Yes,Yes,No
F21-SYN-0024,Demo Member 06-2,Demo Supplier 12,True,Yes,No,Yes,No,No,No
F21-SYN-0025,Demo Member 06-1,Demo Supplier 01,True,Yes,No,Yes,Yes,Yes,No
F21-SYN-0026,Demo Member 06-2,Demo Supplier 02,True,No,No,No,Yes,No,No
F21-SYN-0027,Demo Member 06-1,Demo Supplier 03,True,No,Yes,Yes,No,No,Yes
F21-SYN-0028,Demo Member 07-1,Demo Supplier 04,True,Yes,No,Yes,Yes,No,Yes
F21-SYN-0029,Demo Member 07-2,Demo Supplier 05,True,Yes,Yes,Yes,Yes,Yes,No
F21-SYN-0030,Demo Member 07-1,Demo Supplier 06,True,No,No,Yes,No,No,Yes
F21-SYN-0031,Demo Member 07-2,Demo Supplier 07,True,Yes,No,Yes,Yes,No,Yes
F21-SYN-0032,Demo Member 07-1,Demo Supplier 08,True,Yes,Yes,Yes,No,No,No
F21-SYN-0033,Demo Member 07-2,Demo Supplier 09,True,Yes,Yes,Yes,Yes,No,Yes
F21-SYN-0034,Demo Member 07-1,Demo Supplier 10,True,Yes,Yes,No,Yes,Yes,No
F21-SYN-0035,Demo Member 08-1,Demo Supplier 11,True,Yes,Yes,No,Yes,No,Yes
F21-SYN-0036,Demo Member 08-2,Demo Supplier 12,True,Yes,Yes,No,Yes,Yes,No
F21-SYN-0037,Demo Member 08-1,Demo Supplier 01,True,Yes,No,Yes,Yes,No,No
F21-SYN-0038,Demo Member 08-2,Demo Supplier 02,True,Yes,Yes,Yes,No,Yes,Yes
F21-SYN-0039,Demo Member 08-1,Demo Supplier 03,True,No,Yes,No,No,No,Yes
F21-SYN-0040,Demo Member 08-2,Demo Supplier 04,True,No,Yes,No,Yes,No,No
F21-SYN-0041,Demo Member 08-1,Demo Supplier 05,True,No,Yes,Yes,Yes,No,Yes
F21-SYN-0042,Demo Member 09-1,Demo Supplier 06,True,Yes,Yes,Yes,No,No,Yes
F21-SYN-0043,Demo Member 09-2,Demo Supplier 07,True,Yes,Yes,No,No,No,Yes
F21-SYN-0044,Demo Member 09-1,Demo Supplier 08,True,No,Yes,No,No,Yes,Yes
F21-SYN-0045,Demo Member 09-2,Demo Supplier 09,True,Yes,No,No,No,Yes,Yes
